NAME,MSINI,A,ECC,MSTAR,MASS
,mjupiter,au,,msun,mjupiter
Kepler-1544 b,,0.557231,0,0.81,0.0131362
Kepler-44 b,1.01508,0.0454854,0,1.19,1.02109
K2-32 d,,0.18721,,0.87,0.048011
HD 5891 b,5.22845,0.636168,0.066,1.09,5.22845
Kepler-292 b,,0.0368224,,,0.00769114
Kepler-228 d,,0.0973508,,,0.0531048
Kepler-1000 b,,0.532697,0,1.4,0.0750581
Kepler-140 b,,0.0429776,,,0.0119837
Kepler-245 d,,0.214468,,,0.0273861
Kepler-884 b,,0.0624428,0,1,0.00609283
Kepler-1073 c,,0.0495271,0,1,0.0121546
Kepler-908 b,,0.0246365,0,1.11,0.00590412
HD 173416 b,2.71808,1.16272,0.21,2,2.71808
Kepler-65 d,,0.0852473,,1.25,0.0116475
Kepler-1379 b,,0.0169132,0,0.83,0.00730709
Kepler-104 c,,0.161331,,,0.0292202
Kepler-263 b,,0.127191,,,0.0218083
Kepler-1008 b,,0.0979413,0,0.81,0.00688654
Kepler-278 c,,0.269422,,,0.0395346
Kepler-1587 b,,0.0894717,0,1.08,0.00796813
Kepler-1569 b,,0.0679911,0,1.25,0.0124487
Kepler-1273 b,,0.179399,0,0.94,0.0195285
Kepler-1365 c,,0.0554927,0,1,0.00129651
HD 76700 b,0.232142,0.0511051,0.095,1.129,0.232142
Kepler-366 b,,0.043221,,,0.0107805
HD 39091 b,10.088,3.34651,0.6405,1.071,10.088
Kepler-1636 b,,1.11079,0,1.01,0.0311545
Kepler-1068 b,,0.129431,0,1.01,0.0406377
Kepler-596 b,,0.160247,0,1.21,0.0363708
HD 7449 b,1.3131,2.33982,0.82,1.05,1.3131
Kepler-145 b,,0.17338,,1.32,
HD 149026 b,0.359837,0.0431325,0,1.294,0.361471
Kepler-186 b,,0.0378277,0.04,0.478,0.00370062
